1ˆÊ,2ˆÊ,3ˆÊ,4ˆÊ,5ˆÊ,6ˆÊ,7ˆÊ,8ˆÊ,9ˆÊ,10ˆÊ,11ˆÊ,12ˆÊ,13ˆÊ,14ˆÊ,15ˆÊ,16ˆÊ,17ˆÊ,18ˆÊ,19ˆÊ,20ˆÊ,21ˆÊ,22ˆÊ,23ˆÊ,24ˆÊ,25ˆÊ,26ˆÊ,27ˆÊ,28ˆÊ,29ˆÊ,30ˆÊ
2470653,2964314,3033653,3085404,3142321,3292373,3363555,3421963,3459218,3574084,3583101,3591176,3592811,3662855,3704717,3762691,3770898,3773341,3795719,3827681,3836750,3843662,3860873,3884955,3888838,3889544,3939789,3943518,3946524,3995502
2612047,2631889,2681631,2728665,2920124,2944907,2954361,2967760,2981347,3160543,3163660,3192404,3229925,3322805,3328799,3345975,3401692,3413489,3466823,3479753,3630399,3659996,3682779,3760625,3821106,3967443,4055636,4061846,4137793,4193576
2623724,2639056,2685279,2718294,2726258,2819230,3015141,3033836,3044070,3101882,3170446,3413576,3422955,3544509,3636693,3854938,3946769,3957955,3970829,4016358,4113664,4121347,4160499,4206011,4222932,4301766,4323627,4377653,4415388,4415555
2651346,2753766,2811663,3041922,3153216,3251367,3362889,3449446,3606973,3609261,3765506,3855892,3856565,4024098,4080107,4109804,4135417,4325117,4373943,4431350,4486986,4499992,4539082,4578550,4618373,4653047,4668677,4798880,4811587,4828105
1575337,2014993,2363074,2399112,2492640,2565187,2649339,2765007,2783177,2962463,3135337,3195582,3226814,3266217,3429602,3608032,3621538,3671288,3748123,3784390,3838641,3845658,3992277,4023596,4065655,4104137,4108249,4158236,4175696,4200277
2387037,2704289,2804867,2855808,2895985,2984534,3163871,3172573,3178097,3237479,3297274,3573459,3587380,3637162,3672287,3834437,3862184,3867790,3935077,3966062,3980673,3993153,4004514,4097221,4098894,4183803,4186723,4191487,4224777,4238676
2636970,2911036,2954216,2988743,2994327,3017381,3187821,3337027,3400766,3471291,3503269,3681003,3688607,3804129,3807279,3808207,3810776,3812953,3847535,3960539,4036565,4059938,4067084,4067428,4072269,4073089,4095166,4158110,4161645,4168954
2236268,2279020,2741514,2841683,2877507,3277973,3291202,3329231,3348807,3402196,3441579,3445935,3470242,3552611,3596650,3638212,3673758,3718656,3731984,3734291,3745219,3756215,3765355,3971165,3986790,4009962,4131118,4186624,4215706,4263160
2200226,2671123,2672111,2700735,2834636,2997155,3052832,3353865,3382065,3429123,3453429,3462314,3485596,3490046,3579694,3610828,3626816,3645393,3659804,3700844,3791429,3813110,3982413,4001928,4044342,4139554,4139921,4154443,4158778,4278041
1882320,2153086,2507399,2530757,2709937,2818400,2841266,3065955,3384827,3443943,3559805,3647605,3681745,3700355,3715448,3823954,4016884,4025218,4074729,4125771,4200789,4224842,4267962,4276991,4321821,4352027,4446592,4452093,4494503,4505668
2123855,2222069,2394990,2455147,2511021,2518865,2540349,2645917,2816318,2878904,2913551,2951132,3000339,3101591,3183099,3245870,3293816,3528284,3738075,3831881,3838278,3855166,3862323,3991212,4035055,4037967,4057155,4068472,4074919,4078584
2519556,2905455,3009551,3021868,3060327,3142405,3187339,3231609,3272109,3301995,3322879,3340512,3378609,3386172,3590823,3649360,3734996,3737810,3885998,3929420,4046456,4069208,4101667,4109722,4158034,4169939,4181381,4187458,4208476,4229083
2136719,2818205,2994079,3019537,3072007,3098481,3161238,3230279,3248461,3357559,3405456,3410947,3620722,3825784,3841853,3928648,3940353,3986647,4030123,4055835,4121615,4148758,4162279,4168600,4264822,4302811,4337839,4377435,4380259,4382371
2018842,2041957,2145906,2306490,2481178,2544258,2583335,2691481,2909258,2989816,2992621,3018761,3107771,3165973,3185520,3191289,3359237,3369014,3408057,3493571,3543631,3551166,3601600,3658270,3879166,3929554,3972886,4032294,4110889,4112928
2195003,2405393,2639607,2757421,2758007,2830349,2943136,3080352,3092609,3097207,3105213,3209502,3234815,3273870,3405391,3472690,3532796,3602335,3618452,3671897,3685808,3787346,3808409,3837395,3863184,3884465,3908624,3992158,4089458,4117129
2263008,2409601,2414931,2463802,2490926,2503166,2571650,2609967,2849467,2855972,3031788,3135123,3184460,3199472,3205691,3270065,3615912,3637132,3737285,3745606,3749464,3820414,3878814,3946215,3970700,4013743,4225383,4304350,4326193,4340328
2048074,2098214,2823257,2929860,2942297,2959408,3007040,3152536,3266234,3284782,3328999,3452725,3471560,3502737,3679558,3838420,3842913,3870294,3909745,3991421,4038649,4045919,4076936,4080958,4096455,4177082,4196718,4218791,4232981,4285855
2483296,2501326,2541398,2787762,2797424,2810472,2842168,2973339,2992256,3065533,3146589,3230535,3277559,3373127,3376063,3569554,3573748,3601473,3762759,3773054,3868177,4013065,4029647,4055480,4128227,4142831,4193829,4248273,4257499,4288027
2000933,2805469,2844169,2890878,2976652,3026684,3180663,3198341,3237241,3280998,3299541,3455188,3480894,3515860,3538028,3640553,3668842,3671447,3674808,3696295,3726685,3822240,3864801,4081818,4119508,4204471,4221345,4324172,4327602,4394759
2230168,2573959,2623783,2807961,3242898,3377930,3531930,3537224,3615875,3792886,3814897,3828055,3849982,3908347,3941492,3976552,4078888,4143377,4178544,4205253,4211867,4252351,4316672,4375644,4462666,4530682,4579080,4586096,4624148,4673180
